date,land_or_jeju,average_price,lowest_price,highest_price,success_amounts,sucess_deals,transaction_money,sell_amount,sell_deals,buy_amount,buy_deals,,,,,,,,,,
2017-08-17,land,126781,125000,128000,31877,351,,219498,1691,,,,,,,,,,,,
2017-08-17,jeju,116400,116400,116400,32,1,,8340,65,,,,,,,,,,,,
2017-08-17,total,125000,,,31909,352,4045138400,227838,1756,39740,92,,,,,,,,,,
2017-08-22,land,127497,125400,129000,35678,354,,224126,1770,,,,,,,,,,,,
2017-08-22,jeju,115516,114100,117800,322,9,,8827,73,,,,,,,,,,,,
2017-08-22,total,126100,,,36000,363,4586064000,232953,1843,47745,77,,,,,,,,,,
2017-08-24,land,126890,125900,127400,16372,157,,207130,1400,,,,,,,,,,,,
2017-08-24,jeju,115446,115000,115800,226,2,,7720,57,,,,,,,,,,,,
2017-08-24,total,127400,,,16598,159,2103545000,214850,1457,25643,38,,,,,,,,,,
2017-08-29,land,126391,125000,127000,17186,300,,262007,1798,,,,,,,,,,,,
2017-08-29,jeju,112989,112000,113000,93,4,,8400,61,,,,,,,,,,,,
2017-08-29,total,125600,,,17279,304,2182677800,270407,1859,25587,70,,,,,,,,,,
2017-08-31,land,127021,120000,128000,30426,377,,237230,1702,,,,,,,,,,,,
2017-08-31,jeju,113920,113400,115800,117,3,,8660,53,,,,,,,,,,,,
2017-08-31,total,122500,,,30543,380,3878086200,25890,1755,35753,55,,,,,,,,,,
2017-09-5,land,127579,123800,128000,59186,647,,270440,2033,,,,,,,,,,,,
2017-09-5,jeju,114003,108300,115900,562,5,,10865,67,,,,,,,,,,,,
2017-09-12,total,126000,,,12390,178,1561040900,235909,1695,20716,38,,,,,,,,,,
2017-09-7,land,127179,124600,128000,35189,285,,212668,1512,,,,,,,,,,,,
2017-09-7,jeju,116788,116300,116800,681,13,,10752,78,,,,,,,,,,,,
2017-09-14,total,126900,,,49360,343,6250832100,253479,1805,84935,96,,,,,,,,,,
2017-09-12,land,126140,125100,127000,12243,174,,227566,1635,,,,,,,,,,,,
2017-09-12,jeju,113593,112900,114400,147,4,,8343,60,,,,,,,,,,,,
2017-09-19,total,127700,,,43754,362,5584353200,254677,1687,68525,108,,,,,,,,,,
2017-09-14,land,127421,125200,127900,46349,336,,240724,1736,,,,,,,,,,,,
2017-09-14,jeju,114565,114100,116300,3011,7,,12755,69,,,,,,,,,,,,
2017-09-21,total,128000,,,56006,257,7144048200,219724,1425,85512,104,,,,,,,,,,
2017-09-19,land,127675,126000,128000,43603,357,,245229,1617,,,,,,,,,,,,
2017-09-19,jeju,114670,108800,116700,151,5,,9448,70,,,,,,,,,,,,
2017-09-26,total,126900,,,33603,341,4277442900,243482,1853,66524,91,,,,,,,,,,
2017-09-21,land,127652,125100,128000,55558,251,,211273,1362,,,,,,,,,,,,
2017-09-21,jeju,115857,115800,116700,448,6,,8451,63,,,,,,,,,,,,
2017-09-28,total,128000,,,64274,487,8160510600,232185,1837,79101,74,,,,,,,,,,
2017-09-26,land,127598,125100,128000,32933,335,,227554,1790,,,,,,,,,,,,
2017-09-26,jeju,112322,108800,116800,670,6,,15928,63,,,,,,,,,,,,
2017-09-5,total,127100,,,59748,652,7614994700,281305,2100,79631,90,,,,,,,,,,
2017-09-28,land,127372,125000,128000,61659,475,,220742,1770,,,,,,,,,,,,
2017-09-28,jeju,117332,108300,118000,2615,12,,11443,67,,,,,,,,,,,,
2017-09-7,total,126500,,,35870,298,4554868600,223420,1590,47173,71,,,,,,,,,,
2017-10-10,land,126215,120000,127000,7928,118,,168739,1405,,,,,,,,,,,,
2017-10-10,jeju,112600,112600,112600,294,1,,9288,46,,,,,,,,,,,,
2017-10-10,total,126500,,,8222,119,1033737900,178027,1451,18705,28,,,,,,,,,,
2017-10-12,land,127471,124500,128000,105024,677,,249186,1809,,,,,,,,,,,,
2017-10-12,jeju,113989,107800,116800,1436,19,,11028,73,,,,,,,,,,,,
2017-10-12,total,127000,,,106460,696,13551255000,260214,1882,113497,72,,,,,,,,,,
2017-10-17,land,127453,123000,128000,42197,386,,221409,1471,,,,,,,,,,,,
2017-10-17,jeju,114993,113300,116800,782,10,,13272,64,,,,,,,,,,,,
2017-10-17,total,126000,,,42979,396,5468062500,234681,1535,48214,76,,,,,,,,,,
2017-10-19,land,127672,125500,128000,51022,417,,185819,1365,,,,,,,,,,,,
2017-10-19,jeju,114975,114600,116800,887,10,,7999,54,,,,,,,,,,,,
2017-10-19,total,128000,,,51909,427,6616071200,193818,1419,58194,105,,,,,,,,,,
2017-10-24,land,127927,127000,128000,56370,267,,223864,1567,,,,,,,,,,,,
2017-10-24,jeju,113939,108800,116800,481,5,,9113,67,,,,,,,,,,,,
2017-10-24,total,128000,,,56851,272,7266061900,232977,1634,96650,91,,,,,,,,,,
2017-10-26,land,128159,125000,128600,128730,606,,341845,1800,,,,,,,,,,,,
2017-10-26,jeju,111962,108800,116800,212,6,,9626,48,,,,,,,,,,,,
